model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Llama-3.2-3B-Instruct,posneg,positive,4,0.9232409342870522,0.004406451506098209,150,15000,0.0003597852588753017
Llama-3.2-3B-Instruct,posneg,positive,5,0.8808738593747659,0.006898364087144356,150,15000,0.000563249069114798
Llama-3.2-3B-Instruct,posneg,positive,6,0.8290294751186482,0.016090445648216944,150,15000,0.0013137793857372544
Llama-3.2-3B-Instruct,posneg,positive,7,0.7892885062166981,0.0268587179749363,150,15000,0.002193005139463755
Llama-3.2-3B-Instruct,posneg,positive,8,0.7372283012091588,0.03802602823984279,150,15000,0.003104812204409279
Llama-3.2-3B-Instruct,posneg,positive,9,0.7188996961975336,0.04135351789897258,150,15000,0.0033765005973844637
Llama-3.2-3B-Instruct,posneg,positive,10,0.6884307544748235,0.05118414500321888,150,15000,0.004179167939283717
Llama-3.2-3B-Instruct,posneg,positive,11,0.6950353281031987,0.04636925670628209,150,15000,0.0037860339560839363
Llama-3.2-3B-Instruct,posneg,positive,12,0.6371233062833118,0.04250172076788198,150,15000,0.0034702509690520563
Llama-3.2-3B-Instruct,posneg,positive,13,0.629197060438479,0.043246637980564495,150,15000,0.003531073204775005
Llama-3.2-3B-Instruct,posneg,positive,14,0.6297801413805503,0.03808547054899933,150,15000,0.0031096656486281557
Llama-3.2-3B-Instruct,posneg,positive,15,0.6037904409345939,0.039821309088426515,150,15000,0.0032513962718766433
Llama-3.2-3B-Instruct,posneg,positive,16,0.5961222787924647,0.042895984497517095,150,15000,0.0035024424677751447
Llama-3.2-3B-Instruct,posneg,positive,17,0.6104348838204262,0.04339127764045204,150,15000,0.0035428829835514775
Llama-3.2-3B-Instruct,posneg,positive,18,0.5899415464412904,0.046256003309635585,150,15000,0.0037767868549699033
Llama-3.2-3B-Instruct,posneg,positive,19,0.5731683277263778,0.048294484098656436,150,15000,0.003943228114422141
Llama-3.2-3B-Instruct,posneg,positive,20,0.5646595415704657,0.050978187542792465,150,15000,0.004162351583058244
Llama-3.2-3B-Instruct,posneg,positive,21,0.5557765179713849,0.05314484378713754,150,15000,0.004339258324613591
Llama-3.2-3B-Instruct,posneg,positive,22,0.5562962144472885,0.05537260491547663,150,15000,0.0045211542590548465
Llama-3.2-3B-Instruct,posneg,positive,23,0.5402098792540068,0.0571070599047163,150,15000,0.004662771915903569
Llama-3.2-3B-Instruct,posneg,positive,24,0.572893603466613,0.05320064045769592,150,15000,0.004343814103687398
Llama-3.2-3B-Instruct,posneg,positive,25,0.617796725186063,0.04696757354421075,150,15000,0.0038348863213319598
Llama-3.2-3B-Instruct,posneg,positive,26,0.7354512259572774,0.03363651032116096,150,15000,0.0027464095671568094
Llama-3.2-3B-Instruct,posneg,positive,27,0.8017744202064927,0.029530713941035045,150,15000,0.002411172696520985
