model,category,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,2,0.998069867882334,8.022063285663967e-05,50,5000,1.1344910696801254e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,3,0.9972820352891874,9.126731481873939e-05,50,5000,1.290714744180362e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,4,0.9973354763357407,8.478083567115268e-05,50,5000,1.198982076354688e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,5,0.9975521604430617,0.00010439301498677074,50,5000,1.4763401761130894e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,6,0.997797633445542,8.36350078126508e-05,50,5000,1.1827776233783052e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,7,0.9975464155240629,0.0001030044967776285,50,5000,1.4567035632833799e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,8,0.9976952689898755,0.00010270834578617294,50,5000,1.4525153557971129e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,9,0.9975128243709094,0.0001301615573346912,50,5000,1.840762396823235e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,10,0.9979215728162291,8.4515747437409e-05,50,5000,1.1952331626008296e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,11,0.9980333588565048,5.9918759936921914e-05,50,5000,8.473792294337263e-06
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,12,0.9982304876518451,4.474867117659867e-05,50,5000,6.328417767611985e-06
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,13,0.9979107560672837,7.512130435477348e-05,50,5000,1.062375674416777e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,14,0.9979062793913368,9.860412832355811e-05,50,5000,1.3944729558115291e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,15,0.9978337253521576,0.0001201512668719149,50,5000,1.699195511465712e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,16,0.9980535444240118,0.00012508243718847384,50,5000,1.768932790866205e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,17,0.9982544266556163,0.00011327264733322456,50,5000,1.6019171410455078e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,18,0.9983509691828032,9.903124725034705e-05,50,5000,1.4005133296016407e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,19,0.9987790020911065,7.080955671939302e-05,50,5000,1.0013983545819252e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,20,0.9988364557969187,5.854661343771769e-05,50,5000,8.279741475463524e-06
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,21,0.9990813774914404,3.570560435847325e-05,50,5000,5.049534993648077e-06
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,22,0.999023435195307,9.805771687873944e-05,50,5000,1.3867455310525446e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,23,0.9991793884113314,7.514464094678543e-05,50,5000,1.0627057036660056e-05
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,24,0.9992505058631577,5.671347002822408e-05,50,5000,8.020495848315454e-06
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,25,0.99919317593073,5.339537504983049e-05,50,5000,7.551246356346826e-06
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,26,0.9991155771133187,5.1688623818473966e-05,50,5000,7.309875282448688e-06
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,27,0.9961342678227152,0.00013897293294584483,50,5000,1.9653740657478047e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,0,0.9992619319604131,1.1966806263959316e-05,50,5000,1.692361971678257e-06
Qwen2.5-3B-Instruct,ideology,negpos,negative,1,0.9990562342407798,3.6295242879018035e-05,50,5000,5.13292247291328e-06
Qwen2.5-3B-Instruct,ideology,negpos,negative,2,0.9989343051872689,3.7586525752319104e-05,50,5000,5.315537448141528e-06
Qwen2.5-3B-Instruct,ideology,negpos,negative,3,0.9985533372007189,6.316637407445083e-05,50,5000,8.933074290202061e-06
Qwen2.5-3B-Instruct,ideology,negpos,negative,4,0.9982520330487319,7.79372583310919e-05,50,5000,1.1021992774600567e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,5,0.9985200789274886,8.151766727295641e-05,50,5000,1.1528339063043235e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,6,0.998473224361562,7.276063751064569e-05,50,5000,1.0289908037446767e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,7,0.9985313198244821,7.499781618530706e-05,50,5000,1.0606292879762565e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,8,0.9984846680992581,7.48284430764024e-05,50,5000,1.058233990499114e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,9,0.998413706583351,7.557701628306927e-05,50,5000,1.068820414312088e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,10,0.998560656050504,7.166662383545237e-05,50,5000,1.0135191139758765e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,11,0.9986266603271787,7.122719876487109e-05,50,5000,1.0073047050312485e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,12,0.9988156132623821,7.101555893377578e-05,50,5000,1.0043116658365151e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,13,0.9986757857537204,5.9982174770872e-05,50,5000,8.482760506160047e-06
Qwen2.5-3B-Instruct,ideology,negpos,negative,14,0.9985892507887532,9.895716934923333e-05,50,5000,1.3994657098773692e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,15,0.998493406227472,0.00010283714752923643,50,5000,1.4543368875160898e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,16,0.998378161478237,0.00011978917821036621,50,5000,1.6940748045062752e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,17,0.9983163176829423,9.218087902855173e-05,50,5000,1.3036344931365146e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,18,0.9980628441346707,0.00010646276680424546,50,5000,1.5056108870232805e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,19,0.9980662654113732,8.851650503811664e-05,50,5000,1.2518124191877095e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,20,0.9979446078594971,9.593757007069349e-05,50,5000,1.3567621273509386e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,21,0.9981903875164275,7.125173682180166e-05,50,5000,1.0076517255603036e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,22,0.9985072580744654,5.9665952277922165e-05,50,5000,8.438039892334339e-06
Qwen2.5-3B-Instruct,ideology,negpos,negative,23,0.998501359418608,7.061374603117128e-05,50,5000,9.986291732725173e-06
Qwen2.5-3B-Instruct,ideology,negpos,negative,24,0.9983776495706057,0.00010280852621661214,50,5000,1.4539321210312278e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,25,0.9984212558148805,9.60487712278638e-05,50,5000,1.3583347491971568e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,26,0.9984367949558662,9.917792780715064e-05,50,5000,1.4025877059293214e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,27,0.9987422566300187,7.855836672794233e-05,50,5000,1.1109830766453534e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,28,0.998829999736162,8.390882348464177e-05,50,5000,1.1866499617475046e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,29,0.9991631761833548,5.532680737700911e-05,50,5000,7.824392135537009e-06
Qwen2.5-3B-Instruct,ideology,negpos,negative,30,0.9993488508515307,3.852243863983739e-05,50,5000,5.44789551801434e-06
Qwen2.5-3B-Instruct,ideology,negpos,negative,31,0.9991576017232496,6.848287867060643e-05,50,5000,9.684941580632278e-06
Qwen2.5-3B-Instruct,ideology,negpos,negative,32,0.9983147998031288,0.00021641828913304228,50,5000,3.060616796375302e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,33,0.9965962647772671,0.0004151131889215684,50,5000,5.870587016928268e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,34,0.995393770172146,0.0005333087437688087,50,5000,7.542124583700071e-05
Qwen2.5-3B-Instruct,ideology,negpos,negative,35,0.9929705561722467,0.0008237082471416617,50,5000,0.0001164899374546307
Qwen2.5-3B-Instruct,ideology,negpos,positive,0,0.9992072712829505,1.7454018226847717e-05,50,5000,2.468370929431524e-06
Qwen2.5-3B-Instruct,ideology,negpos,positive,1,0.9990066414500488,3.40496564895579e-05,50,5000,4.815348600167785e-06
Qwen2.5-3B-Instruct,ideology,negpos,positive,2,0.9988680839714504,3.319374042293805e-05,50,5000,4.694303789201102e-06
Qwen2.5-3B-Instruct,ideology,negpos,positive,3,0.9984363914514297,6.759405030713554e-05,50,5000,9.559242268008034e-06
Qwen2.5-3B-Instruct,ideology,negpos,positive,4,0.9981058878282316,6.095160010706713e-05,50,5000,8.619857951975572e-06
Qwen2.5-3B-Instruct,ideology,negpos,positive,5,0.9984063785829994,5.93820841917208e-05,50,5000,8.397894882591253e-06
