model,category,pair_slug,concat_variant,reference_variant,mean_cos,std_across_layers,n_layers,n_rows_total,pair_overall_mean
Llama-3.2-3B-Instruct,ideology,ideology__public_interest__private_interest,posneg,positive,0.7042263818048207,0.1572741466108527,28,2800,0.7016583675615105
Llama-3.2-3B-Instruct,ideology,ideology__public_sector_priority__private_sector_priority,negpos,negative,0.7321381812997277,0.1421739010661706,28,2800,0.7261598021372696
Llama-3.2-3B-Instruct,ideology,ideology__public_sector_priority__private_sector_priority,negpos,positive,0.7175513528221497,0.14902149847770715,28,2800,0.7261598021372696
Llama-3.2-3B-Instruct,ideology,ideology__public_sector_priority__private_sector_priority,posneg,negative,0.7220233080057337,0.1496348477245106,28,2800,0.7261598021372696
Llama-3.2-3B-Instruct,ideology,ideology__public_sector_priority__private_sector_priority,posneg,positive,0.7329263664214675,0.13950675632397697,28,2800,0.7261598021372696
Llama-3.2-3B-Instruct,ideology,ideology__punishment_oriented__rehabilitation_oriented,negpos,negative,0.7386801500706711,0.13953283545766904,28,2800,0.7230566168967258
Llama-3.2-3B-Instruct,ideology,ideology__punishment_oriented__rehabilitation_oriented,negpos,positive,0.7167774250869122,0.15028534001406443,28,2800,0.7230566168967258
Llama-3.2-3B-Instruct,ideology,ideology__punishment_oriented__rehabilitation_oriented,posneg,negative,0.7210927513735642,0.14950973114277877,28,2800,0.7230566168967258
Llama-3.2-3B-Instruct,ideology,ideology__punishment_oriented__rehabilitation_oriented,posneg,positive,0.7156761410557557,0.14812721638156268,28,2800,0.7230566168967258
Llama-3.2-3B-Instruct,ideology,ideology__redistribution__wealth_concentration_acceptance,negpos,negative,0.7298578094806025,0.14372156251204113,28,2800,0.72503891474563
Llama-3.2-3B-Instruct,ideology,ideology__redistribution__wealth_concentration_acceptance,negpos,positive,0.7158774395912776,0.14672903165176537,28,2800,0.72503891474563
Llama-3.2-3B-Instruct,ideology,ideology__redistribution__wealth_concentration_acceptance,posneg,negative,0.7275462839938632,0.14592140953065028,28,2800,0.72503891474563
Llama-3.2-3B-Instruct,ideology,ideology__redistribution__wealth_concentration_acceptance,posneg,positive,0.7268741259167764,0.1392592957050473,28,2800,0.72503891474563
Llama-3.2-3B-Instruct,ideology,ideology__redistribution_supporting__market_outcome_supporting,negpos,negative,0.7306802154329654,0.14482043230591327,28,2800,0.7373014506024673
Llama-3.2-3B-Instruct,ideology,ideology__redistribution_supporting__market_outcome_supporting,negpos,positive,0.7436872385078015,0.1312676383511177,28,2800,0.7373014506024673
Llama-3.2-3B-Instruct,ideology,ideology__redistribution_supporting__market_outcome_supporting,posneg,negative,0.7209829917633758,0.15244195523008383,28,2800,0.7373014506024673
Llama-3.2-3B-Instruct,ideology,ideology__redistribution_supporting__market_outcome_supporting,posneg,positive,0.7538553567057266,0.12488189288866793,28,2800,0.7373014506024673
Llama-3.2-3B-Instruct,ideology,ideology__regulation_of_technology__tech_self_governance,negpos,negative,0.7275227322719086,0.14354618619108536,28,2800,0.7263177317288791
Llama-3.2-3B-Instruct,ideology,ideology__regulation_of_technology__tech_self_governance,negpos,positive,0.7271137540226007,0.13938113443004777,28,2800,0.7263177317288791
Llama-3.2-3B-Instruct,ideology,ideology__regulation_of_technology__tech_self_governance,posneg,negative,0.7175465592662482,0.15067385083569482,28,2800,0.7263177317288791
Llama-3.2-3B-Instruct,ideology,ideology__regulation_of_technology__tech_self_governance,posneg,positive,0.733087881354759,0.13573650540631316,28,2800,0.7263177317288791
Llama-3.2-3B-Instruct,ideology,ideology__regulation_supporting__deregulation_supporting,negpos,negative,0.7199862880533636,0.15238395600152732,28,2800,0.7207773722960257
Llama-3.2-3B-Instruct,ideology,ideology__regulation_supporting__deregulation_supporting,negpos,positive,0.6980161043035819,0.16103661525145507,28,2800,0.7207773722960257
