model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Qwen2.5-1.5B-Instruct,posneg,negative,2,0.16492630737881744,0.0930886203337824,150,15000,0.007600654022581253
Qwen2.5-1.5B-Instruct,posneg,negative,3,0.20158419414383832,0.05898534473149614,150,15000,0.0048161332298109856
Qwen2.5-1.5B-Instruct,posneg,negative,4,0.20562080523081402,0.05847515601488793,150,15000,0.004774476495537135
Qwen2.5-1.5B-Instruct,posneg,negative,5,0.2349721190486431,0.07693187045888332,150,15000,0.006281460919405296
Qwen2.5-1.5B-Instruct,posneg,negative,6,0.2794874620150035,0.07822893035298883,150,15000,0.006387365416284859
Qwen2.5-1.5B-Instruct,posneg,negative,7,0.3156943329046612,0.07650306272029912,150,15000,0.006246448914162361
Qwen2.5-1.5B-Instruct,posneg,negative,8,0.33303130716567525,0.07378880098417456,150,15000,0.006024830371433496
Qwen2.5-1.5B-Instruct,posneg,negative,9,0.349149600423928,0.07570744891690645,150,15000,0.006181487319141459
Qwen2.5-1.5B-Instruct,posneg,negative,10,0.38996973939732665,0.07113124570351684,150,15000,0.00580784189140515
Qwen2.5-1.5B-Instruct,posneg,negative,11,0.44618986965480656,0.08523352170765133,150,15000,0.006959287905472643
Qwen2.5-1.5B-Instruct,posneg,negative,12,0.46357324732380817,0.08101023644668022,150,15000,0.006614458107886106
Qwen2.5-1.5B-Instruct,posneg,negative,13,0.5542824931051835,0.07134519569546557,150,15000,0.005825310835096716
Qwen2.5-1.5B-Instruct,posneg,negative,14,0.5528707167095155,0.07076630706873933,150,15000,0.005778044776650724
Qwen2.5-1.5B-Instruct,posneg,negative,15,0.5561506481608347,0.06610943568340133,150,15000,0.005397812820255859
Qwen2.5-1.5B-Instruct,posneg,negative,16,0.5635024055929283,0.06571533591835697,150,15000,0.0053656347091855456
Qwen2.5-1.5B-Instruct,posneg,negative,17,0.5393539249797786,0.0712245507956051,150,15000,0.005815460220272471
Qwen2.5-1.5B-Instruct,posneg,negative,18,0.535105032695305,0.06150577437046229,150,15000,0.005021925448079462
Qwen2.5-1.5B-Instruct,posneg,negative,19,0.5126093426330507,0.06309080156765358,150,15000,0.0051513423767978765
Qwen2.5-1.5B-Instruct,posneg,negative,20,0.4986712730589963,0.06641306912277656,150,15000,0.0054226043867663795
Qwen2.5-1.5B-Instruct,posneg,negative,21,0.47562335521196125,0.06955046496184374,150,15000,0.005678771684327902
Qwen2.5-1.5B-Instruct,posneg,negative,22,0.4361740656386908,0.0788187129812357,150,15000,0.006435520966230273
Qwen2.5-1.5B-Instruct,posneg,negative,23,0.42969042262598445,0.08104471611985758,150,15000,0.006617273361412188
Qwen2.5-1.5B-Instruct,posneg,negative,24,0.41989860758035324,0.07756225989740893,150,15000,0.006332932001526207
Qwen2.5-1.5B-Instruct,posneg,negative,25,0.40879006851496585,0.07421561917902045,150,15000,0.006059679931110436
Qwen2.5-1.5B-Instruct,posneg,negative,26,0.3982036283526678,0.07486906148145445,150,15000,0.006113033271687527
Qwen2.5-1.5B-Instruct,posneg,negative,27,0.2818076293247747,0.09245865063240409,150,15000,0.007549217211854907
Qwen2.5-1.5B-Instruct,posneg,positive,0,0.0442185512694309,0.09264857436964229,150,15000,0.007564724420064108
Qwen2.5-1.5B-Instruct,posneg,positive,1,0.09585536260462903,0.07988867112668142,150,15000,0.006522882682979493
Qwen2.5-1.5B-Instruct,posneg,positive,2,0.10780968360544402,0.08100600853910055,150,15000,0.006614112900677777
Qwen2.5-1.5B-Instruct,posneg,positive,3,0.1158374045476239,0.0636764806225118,150,15000,0.005199162871379149
Qwen2.5-1.5B-Instruct,posneg,positive,4,0.1119035291760949,0.06584501439461653,150,15000,0.00537622291243413
Qwen2.5-1.5B-Instruct,posneg,positive,5,0.16290032948051308,0.07782947267140797,150,15000,0.00635474983316125
Qwen2.5-1.5B-Instruct,posneg,positive,6,0.1948593368585123,0.0805346439527474,150,15000,0.0065756261433650015
Qwen2.5-1.5B-Instruct,posneg,positive,7,0.2286935003752184,0.08035225330779223,150,15000,0.006560734009565092
Qwen2.5-1.5B-Instruct,posneg,positive,8,0.23705784710491215,0.07525368585683917,150,15000,0.006144437720431836
Qwen2.5-1.5B-Instruct,posneg,positive,9,0.2575551062750412,0.07504051360241416,150,15000,0.0061270322787431684
Qwen2.5-1.5B-Instruct,posneg,positive,10,0.3170827512251175,0.06858478448475132,150,15000,0.00559992420354644
Qwen2.5-1.5B-Instruct,posneg,positive,11,0.38082249890017567,0.08854807633270055,150,15000,0.00722992015733773
Qwen2.5-1.5B-Instruct,posneg,positive,12,0.4109845716025261,0.08451959525358169,150,15000,0.006900996054594471
Qwen2.5-1.5B-Instruct,posneg,positive,13,0.5239212295203446,0.07020287939950537,150,15000,0.005732041100097763
Qwen2.5-1.5B-Instruct,posneg,positive,14,0.5168786973029362,0.07810123602294762,150,15000,0.006376939217896609
Qwen2.5-1.5B-Instruct,posneg,positive,15,0.5202229485976629,0.07195717013238939,150,15000,0.005875278338633063
Qwen2.5-1.5B-Instruct,posneg,positive,16,0.5337247077008513,0.07065141900937974,150,15000,0.005768664205885071
Qwen2.5-1.5B-Instruct,posneg,positive,17,0.5019935683547958,0.08094029980897065,150,15000,0.006608747805328961
Qwen2.5-1.5B-Instruct,posneg,positive,18,0.5062114122281315,0.07404192390172368,150,15000,0.006045497771106826
Qwen2.5-1.5B-Instruct,posneg,positive,19,0.49027547115586706,0.06579950215939077,150,15000,0.005372506853988909
Qwen2.5-1.5B-Instruct,posneg,positive,20,0.47663625493924844,0.06833118035556549,150,15000,0.005579217513107502
Qwen2.5-1.5B-Instruct,posneg,positive,21,0.46043298561864426,0.07027451462134401,150,15000,0.005737890091468288
Qwen2.5-1.5B-Instruct,posneg,positive,22,0.4250633607824971,0.08889152675668563,150,15000,0.00725796276702793
Qwen2.5-1.5B-Instruct,posneg,positive,23,0.41751627426949434,0.0930105085081219,150,15000,0.0075942762187230705
Qwen2.5-1.5B-Instruct,posneg,positive,24,0.4081330540427329,0.08831406348012986,150,15000,0.007210813087936019
